		3	5	7	8	9	10	11	12	13	16	17	19	20	21	22
		566631	566742	566750	566751	566783	566798	566802	566967	566993	567238	567260	567439	567443	567547	568098
3	566631	99999	99999	586.6612422	99999	417.3922229	99999	99999	99999	240.8495204	203.7893259	655.9728653	99999	99999	99999	99999
5	566742	99999	99999	491.4122135	99999	448.5524759	99999	661.3118611	99999	99999	99999	160.2076766	99999	302.540407	99999	508.0149146
7	566750	586.6612422	491.4122135	99999	99999	517.1334685	99999	441.4144315	927.5381797	657.4025782	405.4647881	442.8382197	625.9581479	683.087554	99999	596.1304443
8	566751	99999	99999	99999	99999	99999	353.6424044	660.3723237	99999	99999	99999	99999	313.8663986	99999	454.5113882	99999
9	566783	417.3922229	448.5524759	517.1334685	99999	99999	99999	99999	99999	644.0826082	436.3464285	288.7857903	99999	344.5459434	99999	99999
10	566798	99999	99999	99999	353.6424044	99999	99999	99999	99999	99999	99999	99999	469.0095203	99999	201.519605	99999
11	566802	99999	661.3118611	441.4144315	660.3723237	99999	99999	99999	99999	99999	99999	99999	397.3230677	99999	99999	348.6341353
12	566967	99999	99999	927.5381797	99999	99999	99999	99999	99999	573.6233322	99999	99999	975.1837534	99999	694.2131966	99999
13	566993	240.8495204	99999	657.4025782	99999	644.0826082	99999	99999	573.6233322	99999	268.7278583	99999	99999	99999	99999	99999
16	567238	203.7893259	99999	405.4647881	99999	436.3464285	99999	99999	99999	268.7278583	99999	593.8914063	99999	99999	99999	99999
17	567260	655.9728653	160.2076766	442.8382197	99999	288.7857903	99999	99999	99999	99999	593.8914063	99999	99999	244.0525465	99999	633.7259093
19	567439	99999	99999	625.9581479	313.8663986	99999	469.0095203	397.3230677	975.1837534	99999	99999	99999	99999	99999	423.9539249	99999
20	567443	99999	302.540407	683.087554	99999	344.5459434	99999	99999	99999	99999	99999	244.0525465	99999	99999	99999	99999
21	567547	99999	99999	99999	454.5113882	99999	201.519605	99999	694.2131966	99999	99999	99999	423.9539249	99999	99999	99999
22	568098	99999	508.0149146	596.1304443	99999	99999	99999	348.6341353	99999	99999	99999	633.7259093	99999	99999	99999	99999
